Description,Symbol,Transaction Date,Settlement Date,Account Currency,Type,Quantity,Currency of Price,Price,Settlement Amount
TESORO CORPORATION      ,TSO,21-Apr-2011,27-Apr-2011,CAD,SELL,-100.00,USD,27.740,2632.66,
CISCO SYSTEMS INC CASH DIV  ON     200 SHS REC 03/31/11 PAY 04/20/11      , ,20-Apr-2011,20-Apr-2011,CAD,STOCKDIV,0.00,CAD,0.000,11.39,
SAFEWAY INC CASH DIV  ON      50 SHS REC 03/24/11 PAY 04/14/11      , ,14-Apr-2011,14-Apr-2011,CAD,STOCKDIV,0.00,CAD,0.000,5.71,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 04/05/11 PAY 04/07/11      , ,07-Apr-2011,07-Apr-2011,CAD,CASH DIV,0.00,CAD,0.000,0.26,
US-Friendly Quarterly Fee      , ,01-Apr-2011,01-Apr-2011,CAD,FEE,0.00,CAD,0.000,-30.00,
US-Friendly Qtrly Fee-HST      , ,01-Apr-2011,01-Apr-2011,CAD,HST,0.00,CAD,0.000,-3.60,
COCA COLA CO CASH DIV  ON      47 SHS REC 03/15/11 PAY 04/01/11      , ,01-Apr-2011,01-Apr-2011,CAD,STOCKDIV,0.00,CAD,0.000,21.21,
HUSKY ENERGY INC COMMON CASH DIV  ON      35 SHS REC 03/23/11 PAY 04/01/11      , ,01-Apr-2011,01-Apr-2011,CAD,STOCKDIV,0.00,CAD,0.000,10.50,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 03/29/11 PAY 03/31/11      , ,31-Mar-2011,31-Mar-2011,CAD,CASH DIV,0.00,CAD,0.000,60.00,
GOLDMAN SACHS GROUP INC CASH DIV  ON      26 SHS REC 03/02/11 PAY 03/30/11      , ,30-Mar-2011,30-Mar-2011,CAD,STOCKDIV,0.00,CAD,0.000,8.81,
MKS INSTRUMENTS INC CASH DIV  ON     150 SHS REC 03/01/11 PAY 03/18/11      , ,18-Mar-2011,18-Mar-2011,CAD,STOCKDIV,0.00,CAD,0.000,22.03,
OVERSEAS SHIPHOLDING GROUP INC      ,OSG,17-Mar-2011,22-Mar-2011,CAD,BUY,30.00,USD,30.160,-903.81,
URANIUM ONE INC      ,UUU,16-Mar-2011,21-Mar-2011,CAD,BUY,400.00,CAD,3.820,-1528.00,
URANIUM ONE INC      ,UUU,16-Mar-2011,21-Mar-2011,CAD,BUY,600.00,CAD,4.000,-2419.98,
RESEARCH IN MOTION LTD      ,RIM,16-Mar-2011,21-Mar-2011,CAD,SELL,-75.00,CAD,60.000,4490.01,
SPEEDWAY MOTORSPORTS INC CASH DIV  ON     130 SHS REC 03/01/11 PAY 03/15/11      , ,15-Mar-2011,15-Mar-2011,CAD,STOCKDIV,0.00,CAD,0.000,12.52,
ELI LILLY & CO CASH DIV  ON      50 SHS REC 02/15/11 PAY 03/10/11      , ,10-Mar-2011,10-Mar-2011,CAD,STOCKDIV,0.00,CAD,0.000,23.48,
OVERSEAS SHIPHOLDING GROUP INC CASH DIV  ON     125 SHS REC 02/25/11 PAY 03/09/11      , ,09-Mar-2011,09-Mar-2011,CAD,STOCKDIV,0.00,CAD,0.000,52.72,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 03/03/11 PAY 03/07/11      , ,07-Mar-2011,07-Mar-2011,CAD,CASH DIV,0.00,CAD,0.000,0.23,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 02/25/11 PAY 02/28/11      , ,28-Feb-2011,28-Feb-2011,CAD,CASH DIV,0.00,CAD,0.000,60.00,
CISCO SYSTEMS INC      ,CSCO,25-Feb-2011,02-Mar-2011,CAD,BUY,85.00,USD,18.680,-1565.83,
GOLDMAN SACHS GROUP INC      ,GS,25-Feb-2011,02-Mar-2011,CAD,BUY,6.00,USD,164.970,-979.81,
SPEEDWAY MOTORSPORTS INC      ,TRK,25-Feb-2011,02-Mar-2011,CAD,BUY,130.00,USD,14.430,-1848.17,
HUSKY ENERGY INC COMMON      ,HSE,25-Feb-2011,02-Mar-2011,CAD,SELL,-65.00,CAD,29.530,1909.46,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED STK SPLIT ON      10 SHS REC 02/16/11 PAY 02/24/11      , ,24-Feb-2011,24-Feb-2011,CAD,EXCHADJ,20.00,CAD,0.000,0.00,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 01/28/11 PAY 02/23/11      , ,23-Feb-2011,23-Feb-2011,CAD,CASH DIV,0.00,CAD,0.000,44.15,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 02/07/11 PAY 02/16/11      , ,16-Feb-2011,16-Feb-2011,CAD,STOCKDIV,0.00,CAD,0.000,42.90,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON      10 SHS REC 01/20/11 PAY 02/10/11      , ,10-Feb-2011,10-Feb-2011,CAD,STOCKDIV,0.00,CAD,0.000,1.00,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 02/03/11 PAY 02/07/11      , ,07-Feb-2011,07-Feb-2011,CAD,CASH DIV,0.00,CAD,0.000,0.26,
AT&T INC CASH DIV  ON      60 SHS REC 01/10/11 PAY 02/01/11      , ,01-Feb-2011,01-Feb-2011,CAD,STOCKDIV,0.00,CAD,0.000,25.61,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 01/28/11 PAY 01/31/11      , ,31-Jan-2011,31-Jan-2011,CAD,CASH DIV,0.00,CAD,0.000,60.00,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      25 SHS REC 12/29/10 PAY 01/28/11      , ,28-Jan-2011,28-Jan-2011,CAD,STOCKDIV,0.00,CAD,0.000,21.75,
SAFEWAY INC CASH DIV  ON      50 SHS REC 12/23/10 PAY 01/13/11      , ,13-Jan-2011,13-Jan-2011,CAD,STOCKDIV,0.00,CAD,0.000,5.87,
CLAYMORE BRIC ETF UNIT COM DIST      ON     250 SHS REC 12/30/10 PAY 01/07/11      , ,07-Jan-2011,07-Jan-2011,CAD,CASH DIV,0.00,CAD,0.000,110.50,
HUSKY ENERGY INC COMMON CASH DIV  ON     100 SHS REC 11/29/10 PAY 01/04/11      , ,04-Jan-2011,04-Jan-2011,CAD,STOCKDIV,0.00,CAD,0.000,30.00,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 12/30/10 PAY 01/04/11      , ,04-Jan-2011,04-Jan-2011,CAD,CASH DIV,0.00,CAD,0.000,0.27,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 12/30/10 PAY 12/31/10      , ,31-Dec-2010,31-Dec-2010,CAD,CASH DIV,0.00,CAD,0.000,60.00,
GOLDMAN SACHS GROUP INC CASH DIV  ON      20 SHS REC 12/02/10 PAY 12/30/10      , ,30-Dec-2010,30-Dec-2010,CAD,STOCKDIV,0.00,CAD,0.000,6.96,
COCA COLA CO CASH DIV  ON      47 SHS REC 12/01/10 PAY 12/15/10      , ,15-Dec-2010,15-Dec-2010,CAD,STOCKDIV,0.00,CAD,0.000,20.62,
ELI LILLY & CO CASH DIV  ON      50 SHS REC 11/15/10 PAY 12/10/10      , ,10-Dec-2010,10-Dec-2010,CAD,STOCKDIV,0.00,CAD,0.000,24.57,
SPEEDWAY MOTORSPORTS INC CASH DIV  ON     130 SHS REC 11/19/10 PAY 12/10/10      , ,10-Dec-2010,10-Dec-2010,CAD,STOCKDIV,0.00,CAD,0.000,13.04,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 12/03/10 PAY 12/07/10      , ,07-Dec-2010,07-Dec-2010,CAD,CASH DIV,0.00,CAD,0.000,0.26,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 11/26/10 PAY 11/30/10      , ,30-Nov-2010,30-Nov-2010,CAD,CASH DIV,0.00,CAD,0.000,60.00,
OVERSEAS SHIPHOLDING GROUP INC CASH DIV  ON      75 SHS REC 11/09/10 PAY 11/23/10      , ,23-Nov-2010,23-Nov-2010,CAD,STOCKDIV,0.00,CAD,0.000,33.04,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 10/29/10 PAY 11/23/10      , ,23-Nov-2010,23-Nov-2010,CAD,CASH DIV,0.00,CAD,0.000,45.32,
NOV 17 GW/59031729      , ,22-Nov-2010,22-Nov-2010,CAD,TGL,0.00,CAD,0.000,88.34,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 11/08/10 PAY 11/17/10      , ,17-Nov-2010,17-Nov-2010,CAD,STOCKDIV,0.00,CAD,0.000,44.23,
SAFEWAY INC      ,SWY,17-Nov-2010,22-Nov-2010,CAD,SELL,-50.00,USD,22.810,1133.32,
EZCORP INC-CL A      ,EZPW,17-Nov-2010,22-Nov-2010,CAD,SELL,-50.00,USD,24.430,1214.51,
CISCO SYSTEMS INC      ,CSCO,17-Nov-2010,22-Nov-2010,CAD,BUY,115.00,USD,19.610,-2359.14,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON      10 SHS REC 10/18/10 PAY 11/08/10      , ,08-Nov-2010,08-Nov-2010,CAD,STOCKDIV,0.00,CAD,0.000,1.01,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 11/03/10 PAY 11/05/10      , ,05-Nov-2010,05-Nov-2010,CAD,CASH DIV,0.00,CAD,0.000,0.27,
AT&T INC      ,T,05-Nov-2010,10-Nov-2010,CAD,SELL,-65.00,USD,29.170,1859.62,
OVERSEAS SHIPHOLDING GROUP INC      ,OSG,05-Nov-2010,10-Nov-2010,CAD,BUY,50.00,USD,37.330,-1923.40,
AT&T INC CASH DIV  ON     125 SHS REC 10/08/10 PAY 11/01/10      , ,01-Nov-2010,01-Nov-2010,CAD,STOCKDIV,0.00,CAD,0.000,53.13,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 10/28/10 PAY 10/29/10      , ,29-Oct-2010,29-Oct-2010,CAD,CASH DIV,0.00,CAD,0.000,60.00,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      25 SHS REC 09/28/10 PAY 10/28/10      , ,28-Oct-2010,28-Oct-2010,CAD,STOCKDIV,0.00,CAD,0.000,21.75,
SAFEWAY INC CASH DIV  ON     100 SHS REC 09/23/10 PAY 10/14/10      , ,14-Oct-2010,14-Oct-2010,CAD,STOCKDIV,0.00,CAD,0.000,11.95,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 10/05/10 PAY 10/07/10      , ,07-Oct-2010,07-Oct-2010,CAD,CASH DIV,0.00,CAD,0.000,0.26,
CLAYMORE BRIC ETF UNIT COM DIST      ON     250 SHS REC 09/29/10 PAY 10/06/10      , ,06-Oct-2010,06-Oct-2010,CAD,CASH DIV,0.00,CAD,0.000,12.50,
COCA COLA CO CASH DIV  ON      97 SHS REC 09/15/10 PAY 10/01/10      , ,01-Oct-2010,01-Oct-2010,CAD,STOCKDIV,0.00,CAD,0.000,43.34,
HUSKY ENERGY INC COMMON CASH DIV  ON     100 SHS REC 08/20/10 PAY 10/01/10      , ,01-Oct-2010,01-Oct-2010,CAD,STOCKDIV,0.00,CAD,0.000,30.00,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 09/29/10 PAY 09/30/10      , ,30-Sep-2010,30-Sep-2010,CAD,CASH DIV,0.00,CAD,0.000,60.00,
GOLDMAN SACHS GROUP INC CASH DIV  ON      20 SHS REC 09/01/10 PAY 09/29/10      , ,29-Sep-2010,29-Sep-2010,CAD,STOCKDIV,0.00,CAD,0.000,7.17,
COCA COLA CO      ,KO,28-Sep-2010,01-Oct-2010,CAD,SELL,-50.00,USD,58.600,2960.84,
SPEEDWAY MOTORSPORTS INC CASH DIV  ON     130 SHS REC 08/23/10 PAY 09/17/10      , ,17-Sep-2010,17-Sep-2010,CAD,STOCKDIV,0.00,CAD,0.000,13.22,
ELI LILLY & CO CASH DIV  ON      50 SHS REC 08/13/10 PAY 09/10/10      , ,10-Sep-2010,10-Sep-2010,CAD,STOCKDIV,0.00,CAD,0.000,25.09,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 09/03/10 PAY 09/08/10      , ,08-Sep-2010,08-Sep-2010,CAD,CASH DIV,0.00,CAD,0.000,0.29,
ISHARES S&P/TSX INCOME TRUST INDEX FUND DIST      ON    1000 SHS REC 08/30/10 PAY 08/31/10      , ,31-Aug-2010,31-Aug-2010,CAD,CASH DIV,0.00,CAD,0.000,59.78,
OVERSEAS SHIPHOLDING GROUP INC CASH DIV  ON      75 SHS REC 08/11/10 PAY 08/25/10      , ,25-Aug-2010,25-Aug-2010,CAD,STOCKDIV,0.00,CAD,0.000,34.53,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 07/30/10 PAY 08/24/10      , ,24-Aug-2010,24-Aug-2010,CAD,CASH DIV,0.00,CAD,0.000,46.87,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED    ,POT,24-Aug-2010,27-Aug-2010,CAD,SELL,-10.00,CAD,158.710,1577.11,
RESEARCH IN MOTION LTD      ,RIM,23-Aug-2010,26-Aug-2010,CAD,BUY,30.00,CAD,50.320,-1519.59,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 08/06/10 PAY 08/17/10      , ,17-Aug-2010,17-Aug-2010,CAD,STOCKDIV,0.00,CAD,0.000,45.24,
AUG 3 GW/59031729      , ,12-Aug-2010,12-Aug-2010,CAD,TGL,0.00,CAD,0.000,70.94,
TIM HORTONS INC      ,THI,12-Aug-2010,17-Aug-2010,CAD,SELL,-80.00,CAD,37.040,2953.21,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 08/04/10 PAY 08/06/10      , ,06-Aug-2010,06-Aug-2010,CAD,CASH DIV,0.00,CAD,0.000,0.28,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON      20 SHS REC 07/16/10 PAY 08/06/10      , ,06-Aug-2010,06-Aug-2010,CAD,STOCKDIV,0.00,CAD,0.000,2.11,
AT&T INC CASH DIV  ON     125 SHS REC 07/09/10 PAY 08/02/10      , ,03-Aug-2010,03-Aug-2010,CAD,STOCKDIV,0.00,CAD,0.000,53.68,
ELI LILLY & CO      ,LLY,03-Aug-2010,06-Aug-2010,CAD,SELL,-50.00,USD,36.580,1828.06,
RESEARCH IN MOTION LTD      ,RIM,03-Aug-2010,06-Aug-2010,CAD,BUY,35.00,USD,55.490,-2038.03,
ISHARES S&P/TSX INCOME TRUST INDEX FUND DIST      ON    1000 SHS REC 07/29/10 PAY 07/30/10      , ,30-Jul-2010,30-Jul-2010,CAD,CASH DIV,0.00,CAD,0.000,66.25,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      25 SHS REC 06/28/10 PAY 07/28/10      , ,28-Jul-2010,28-Jul-2010,CAD,STOCKDIV,0.00,CAD,0.000,21.75,
SAFEWAY INC CASH DIV  ON     100 SHS REC 06/24/10 PAY 07/15/10      , ,15-Jul-2010,15-Jul-2010,CAD,STOCKDIV,0.00,CAD,0.000,12.31,
JUL 12 GW/59031729      , ,14-Jul-2010,14-Jul-2010,CAD,TGL,0.00,CAD,0.000,77.04,
COCA COLA CO      ,KO,12-Jul-2010,15-Jul-2010,CAD,BUY,40.00,USD,52.250,-2209.19,
BERKSHIRE HATHAWAY INC DEL CL B NEW    ,BRK.B,12-Jul-2010,15-Jul-2010,CAD,SELL,-25.00,USD,79.420,2001.15,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 07/06/10 PAY 07/08/10      , ,08-Jul-2010,08-Jul-2010,CAD,CASH DIV,0.00,CAD,0.000,0.30,
CLAYMORE BRIC ETF UNIT COM DIST      ON     250 SHS REC 06/29/10 PAY 07/07/10      , ,07-Jul-2010,07-Jul-2010,CAD,CASH DIV,0.00,CAD,0.000,8.75,
COCA COLA CO CASH DIV  ON      57 SHS REC 06/15/10 PAY 07/01/10      , ,02-Jul-2010,02-Jul-2010,CAD,STOCKDIV,0.00,CAD,0.000,26.31,
HUSKY ENERGY INC COMMON CASH DIV  ON     100 SHS REC 05/21/10 PAY 07/02/10      , ,02-Jul-2010,02-Jul-2010,CAD,STOCKDIV,0.00,CAD,0.000,30.00,
ISHARES S&P/TSX INCOME TRUST INDEX FUND CASH DIV  ON    1000 SHS REC 06/29/10 PAY 06/30/10      , ,30-Jun-2010,30-Jun-2010,CAD,STOCKDIV,0.00,CAD,0.000,225.29,
MKS INSTRUMENTS INC      ,MKSI,30-Jun-2010,06-Jul-2010,CAD,BUY,150.00,USD,19.000,-3081.64,
GOLDMAN SACHS GROUP INC CASH DIV  ON      20 SHS REC 06/01/10 PAY 06/29/10      , ,29-Jun-2010,29-Jun-2010,CAD,STOCKDIV,0.00,CAD,0.000,7.18,
TIM HORTONS INC CASH DIV  ON      80 SHS REC 05/28/10 PAY 06/15/10      , ,15-Jun-2010,15-Jun-2010,CAD,STOCKDIV,0.00,CAD,0.000,10.40,
SPEEDWAY MOTORSPORTS INC CASH DIV  ON     130 SHS REC 05/21/10 PAY 06/11/10      , ,11-Jun-2010,11-Jun-2010,CAD,STOCKDIV,0.00,CAD,0.000,13.30,
ELI LILLY & CO CASH DIV  ON     100 SHS REC 05/14/10 PAY 06/10/10      , ,10-Jun-2010,10-Jun-2010,CAD,STOCKDIV,0.00,CAD,0.000,50.74,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 06/03/10 PAY 06/07/10      , ,07-Jun-2010,07-Jun-2010,CAD,CASH DIV,0.00,CAD,0.000,0.29,
05/28/10 MAY 26 GW/59031729      , ,28-May-2010,28-May-2010,CAD,TGL,0.00,CAD,0.000,43.86,
OVERSEAS SHIPHOLDING GROUP INC CASH DIV  ON      75 SHS REC 05/12/10 PAY 05/26/10      , ,26-May-2010,26-May-2010,CAD,STOCKDIV,0.00,CAD,0.000,35.09,
COCA COLA CO      ,KO,26-May-2010,01-Jun-2010,CAD,BUY,22.00,USD,50.670,-1218.64,
TESORO CORPORATION      ,TSO,26-May-2010,01-Jun-2010,CAD,SELL,-100.00,USD,11.540,1194.91,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 04/30/10 PAY 05/25/10      , ,25-May-2010,25-May-2010,CAD,CASH DIV,0.00,CAD,0.000,47.43,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 05/05/10 PAY 05/18/10      , ,18-May-2010,18-May-2010,CAD,STOCKDIV,0.00,CAD,0.000,45.13,
CLAYMORE NATURAL GAS COMMODITY ETF COM UNITS    ,GAS,18-May-2010,21-May-2010,CAD,SELL,-200.00,CAD,3.750,740.01,
GOLDMAN SACHS GROUP INC      ,GS,13-May-2010,18-May-2010,CAD,BUY,20.00,USD,146.000,-3031.07,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 05/05/10 PAY 05/07/10      , ,07-May-2010,07-May-2010,CAD,CASH DIV,0.00,CAD,0.000,0.32,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON      20 SHS REC 04/15/10 PAY 05/06/10      , ,06-May-2010,06-May-2010,CAD,STOCKDIV,0.00,CAD,0.000,2.00,
AT&T INC CASH DIV  ON     125 SHS REC 04/09/10 PAY 05/03/10      , ,03-May-2010,03-May-2010,CAD,STOCKDIV,0.00,CAD,0.000,52.66,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      50 SHS REC 03/29/10 PAY 04/28/10      , ,28-Apr-2010,28-Apr-2010,CAD,STOCKDIV,0.00,CAD,0.000,43.50,
EZCORP INC-CL A      ,EZPW,23-Apr-2010,28-Apr-2010,CAD,SELL,-40.00,USD,23.500,913.72,
THE TRAVELERS COMPANIES INC      ,TRV,23-Apr-2010,28-Apr-2010,CAD,SELL,-4.00,USD,52.920,198.15,
OVERSEAS SHIPHOLDING GROUP INC      ,OSG,23-Apr-2010,28-Apr-2010,CAD,SELL,-25.00,USD,50.020,1218.77,
ISHARES S&P/TSX INCOME TRUST INDEX FUND RESULT OF NAME CHANGE      , ,21-Apr-2010,21-Apr-2010,CAD,NAMECHG,1000.00,CAD,0.000,0.00,
ISHARES CDN S&P/TSX INCOME TRUST INDEX FUND N/C; ISHARES S&P/TSX INCOME TRUST 46431F108      , ,21-Apr-2010,21-Apr-2010,CAD,NAMECHG,-1000.00,CAD,0.000,0.00,
CANADIAN IMPERIAL BANK OF COMMERCE    ,CM,19-Apr-2010,22-Apr-2010,CAD,SELL,-25.00,CAD,76.000,1890.01,
SAFEWAY INC CASH DIV  ON     100 SHS REC 03/25/10 PAY 04/15/10      , ,15-Apr-2010,15-Apr-2010,CAD,STOCKDIV,0.00,CAD,0.000,9.88,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 04/06/10 PAY 04/08/10      , ,08-Apr-2010,08-Apr-2010,CAD,CASH DIV,0.00,CAD,0.000,0.32,
COCA COLA CO CASH DIV  ON      35 SHS REC 03/15/10 PAY 04/01/10      , ,01-Apr-2010,01-Apr-2010,CAD,STOCKDIV,0.00,CAD,0.000,15.49,
HUSKY ENERGY INC COMMON CASH DIV  ON     100 SHS REC 03/01/10 PAY 04/01/10      , ,01-Apr-2010,01-Apr-2010,CAD,STOCKDIV,0.00,CAD,0.000,30.00,
THE TRAVELERS COMPANIES INC CASH DIV  ON       4 SHS REC 03/10/10 PAY 03/31/10      , ,31-Mar-2010,31-Mar-2010,CAD,STOCKDIV,0.00,CAD,0.000,1.33,
ISHARES CDN S&P/TSX INCOME TRUST INDEX FUND DIST      ON    1000 SHS REC 03/30/10 PAY 03/31/10      , ,31-Mar-2010,31-Mar-2010,CAD,CASH DIV,0.00,CAD,0.000,128.80,
TIM HORTONS INC CASH DIV  ON      80 SHS REC 03/08/10 PAY 03/23/10      , ,23-Mar-2010,23-Mar-2010,CAD,STOCKDIV,0.00,CAD,0.000,10.40,
SPEEDWAY MOTORSPORTS INC CASH DIV  ON     130 SHS REC 03/01/10 PAY 03/15/10      , ,15-Mar-2010,15-Mar-2010,CAD,STOCKDIV,0.00,CAD,0.000,13.10,
ELI LILLY & CO CASH DIV  ON     100 SHS REC 02/12/10 PAY 03/10/10      , ,10-Mar-2010,10-Mar-2010,CAD,STOCKDIV,0.00,CAD,0.000,50.05,
OVERSEAS SHIPHOLDING GROUP INC CASH DIV  ON     100 SHS REC 02/25/10 PAY 03/09/10      , ,09-Mar-2010,09-Mar-2010,CAD,STOCKDIV,0.00,CAD,0.000,44.54,
CLAYMORE GOLD BULLION ETF      ,CGL,09-Mar-2010,12-Mar-2010,CAD,SELL,-250.00,CAD,10.070,2507.51,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 03/03/10 PAY 03/05/10      , ,05-Mar-2010,05-Mar-2010,CAD,CASH DIV,0.00,CAD,0.000,0.31,
